"Produto interior bruto (PIB) por concello. Revisión Estatística 2019. Serie 2010-2020";"";""
"";"";""
"Unidade: Miles de euros/euros por habitante";"";""
"Variables en filas: Tempo, Espazo";"";""
"Variables en columnas: Unidade";"";""
"Variables de corte: Variables=Produto interior bruto";"";""
"";"Miles de euros";"Euros por habitante"
"2020";"";""
"36043 Ponte Caldelas";"121.607";"19.697"
"36038 Pontevedra";"2.052.064";"25.109"
"36058 Vilaboa";"97.087";"16.287"
"36006 Cambados";"250.093";"18.396"
"36022 Grove, O";"196.429";"18.171"
"36901 Illa de Arousa, A";"65.673";"13.051"
"36027 Meaño";"73.841";"13.877"
"36028 Meis";"88.971";"18.640"
"36046 Ribadumia";"144.455";"27.148"
"36051 Sanxenxo";"306.470";"17.627"
"36060 Vilagarcía de Arousa";"683.486";"18.235"
"36061 Vilanova de Arousa";"152.536";"14.971"
"36011 Cerdedo";"-";"-"
"36017 Estrada, A";"292.207";"14.557"
"36018 Forcarei";"63.516";"17.712"
"36003 Baiona";"163.834";"13.275"
"36019 Fornelos de Montes";"18.921";"11.163"
"36021 Gondomar";"223.359";"15.347"
"36033 Mos";"464.604";"31.546"
"36035 Nigrán";"375.840";"21.250"
"36037 Pazos de Borbén";"32.077";"10.507"
"36039 Porriño, O";"955.129";"51.145"
"36045 Redondela";"502.163";"17.520"
"36049 Salceda de Caselas";"134.150";"14.128"
"36053 Soutomaior";"79.712";"10.728"
"36057 Vigo";"7.759.222";"27.017"
"";"";""
"Fonte: IGE.Produto interior bruto municipal. Revisión Estatística 2019, IGE. Cifras poboacionais de referencia";"";""
"Notas: Os datos do ano 2020 son provisionais. Para a obtención do PIB por habitante do ano t empregouse a poboación a 1 de xullo de cada ano, estimada, para períodos anteriores a 2020, como promedio da poboación en Galicia a 1 de xaneiro do ano t e a 1 de xaneiro do ano t+1, a partir das Cifras poboacionais de referencia que elabora o IGE. O dato da poboación a 1 de xullo de 2020 está difundido na mencionada estatística";"";""
"(-) Non procede";"";""
"(20-02-2026)";"";""

"IGE - Instituto Galego de Estatística"
