SECCIÓN;CÓDIGO DA TIPOLOXÍA DE ENTIDADE;TIPOLOXÍA DA ENTIDADE;NÚMERO DE REXISTRO;NOME;ENDEREZO;CAPITAL OU SEDE DA ENTIDADE;CÓDIGO POSTAL;CÓDIGO INE DA PROVINCIA;PROVINCIA;CÓDIGO INE DO CONCELLO;CONCELLO;DATA DE INSCRICIÓN NO REXISTRO;SUPERFICIE
Entidade local territorial;MU;Municipio;2000/210;FOLGOSO DO COUREL;FONDO DA VILA S/N;FOLGOSO DO COURES;27325;27;LUGO;27017;FOLGOSO DO COUREL;27/11/2000;192,80;
Entidade local territorial;MU;Municipio;2000/211;FONSAGRADA, A;RÚA BURÓN, 12;A FONSAGRADA;27100;27;LUGO;27018;FONSAGRADA, A;27/11/2000;438,45;
Entidade local territorial;MU;Municipio;2000/212;FOZ;AVDA. HERMANOS LÓPEZ REAL,S/N;FOZ;27780;27;LUGO;27019;FOZ;27/11/2000;100,29;
Entidade local territorial;MU;Municipio;2000/213;GUNTÍN;AVDA. DE SANTIAGO;GUNTÍN;27211;27;LUGO;27023;GUNTÍN;27/11/2000;154,77;
Entidade local territorial;MU;Municipio;2000/214;INCIO, O;PRAZA DE ESPAÑA, S/N;CRUZ DO INCIO;27346;27;LUGO;27024;INCIO, O;27/11/2000;146,08;
Entidade local territorial;MU;Municipio;2000/215;MONFORTE DE LEMOS;JOSÉ ANTONIO PRIMO DE RIVERA,6;MONFORTE;27400;27;LUGO;27031;MONFORTE DE LEMOS;27/11/2000;199,52;
Entidade local territorial;MU;Municipio;2000/216;NEGUEIRA DE MUÑIZ;CASA DO CONCELLO;NEGUEIRA;27113;27;LUGO;27035;NEGUEIRA DE MUÑIZ;27/11/2000;72,26;
Entidade local territorial;MU;Municipio;2000/217;NOGAIS, AS;ESTRADA XERAL, S/N;AS NOGAIS;27677;27;LUGO;27037;NOGAIS, AS;28/11/2000;110,33;
Entidade local territorial;MU;Municipio;2000/218;PALAS DE REI;AVDA.COMPOSTELA, 28;PALAS DE REI;27200;27;LUGO;27040;PALAS DE REI;28/11/2000;199,67;
Entidade local territorial;MU;Municipio;2000/219;PANTÓN;PRAZA DO CONCELLO;O CASTRO DE FERREIRA;27430;27;LUGO;27041;PANTÓN;28/11/2000;143,24;
Entidade local territorial;MU;Municipio;2000/220;PASTORIZA, A;PRAZA DE GALICIA, S/N;PASTORIZA;27287;27;LUGO;27044;PASTORIZA, A;28/11/2000;175,02;
Entidade local territorial;MU;Municipio;2000/221;POL;PRAZA DE GALICIA, 1;MOSTEIRO;27270;27;LUGO;27046;POL;28/11/2000;125,90;
Entidade local territorial;MU;Municipio;2000/222;PORTOMARÍN;PLAZA CONDE FENOSA,1;PORTOMARÍN;27170;27;LUGO;27049;PORTOMARÍN;28/11/2000;115,09;
Entidade local territorial;MU;Municipio;2000/223;QUIROGA;R/ XENERAL FRANCO, 52;QUIROGA;27320;27;LUGO;27050;QUIROGA;28/11/2000;33,09;
Entidade local territorial;MU;Municipio;2000/224;RÁBADE;RUA JOSE PARDO MONTENEGRO, S/N;RÁBADE;27370;27;LUGO;27056;RÁBADE;28/11/2000;5,17;
Entidade local territorial;MU;Municipio;2000/225;RIBAS DE SIL;PRAZA MAIOR, 2;SAN CLODIO;27310;27;LUGO;27052;RIBAS DE SIL;28/11/2000;67,77;
Entidade local territorial;MU;Municipio;2000/226;RIBEIRA DE PIQUÍN;SAN XURXO;O CHAO DE POUSADOIRO;27742;27;LUGO;27053;RIBEIRA DE PIQUÍN;28/11/2000;72,98;
Entidade local territorial;MU;Municipio;2000/227;SARRIA;RÚA MAIOR, 14;SARRIA;27600;27;LUGO;27057;SARRIA;28/11/2000;184,61;
Entidade local territorial;MU;Municipio;2000/228;TABOADA;PRAZA DO GENERAL MUINELO,1;TABOADA;27550;27;LUGO;27060;TABOADA;28/11/2000;146,66;
Entidade local territorial;MU;Municipio;2000/229;TRABADA;RÚA DO CONCELLO, 15;TRABADA;27765;27;LUGO;27061;TRABADA;28/11/2000;82,70;
Entidade local territorial;MU;Municipio;2000/230;TRIACASTELA;PRAZA DA DEPUTACIÓN, 1;TRIACASTELA;27630;27;LUGO;27062;TRIACASTELA;28/11/2000;51,18;
Entidade local territorial;MU;Municipio;2000/231;VICEDO, O;RUA DOUTOR PRADO VILLAPOL, 57;O VICEDO;27860;27;LUGO;27064;VICEDO, O;28/11/2000;75,95;
Entidade local territorial;MU;Municipio;2000/232;VIVEIRO;PZA. MAIOR, 1;VIVEIRO;27850;27;LUGO;27066;VIVEIRO;28/11/2000;109,33;
Entidade local territorial;MU;Municipio;2000/233;XOVE;AVDA. DA DEPUTACIÓN,S/N;XOVE;27870;27;LUGO;27025;XOVE;28/11/2000;89,12;
Entidade local territorial;MU;Municipio;2000/234;ALLARIZ;PZA. MAIOR  Nº 1;ALLARIZ;32660;32;OURENSE;32001;ALLARIZ;30/11/2000;85,95;
Entidade local territorial;MU;Municipio;2000/235;AVIÓN;PRAZA DO CONCELLO, 1;SAN XUSTO-AVIÓN;32435;32;OURENSE;32004;AVIÓN;12/12/2000;120,51;
Entidade local territorial;MU;Municipio;2000/236;BALTAR;AVDA. SARXENTO SEOANE, 3;BALTAR;32632;32;OURENSE;32005;BALTAR;12/12/2000;93,98;
Entidade local territorial;MU;Municipio;2000/237;BARBADÁS;C/ CIMADEVILA, S/N.;BARBADÁS;32008;32;OURENSE;32008;BARBADÁS;12/12/2000;30,23;
Entidade local territorial;MU;Municipio;2000/238;BEARIZ;RÚA SAN PEDRO 4;BEARIZ;32430;32;OURENSE;32011;BEARIZ;12/12/2000;55,97;
Entidade local territorial;MU;Municipio;2000/239;BARCO DE VALDEORRAS, O;PRAZA DO CONCELLO,1;O BARCO;32300;32;OURENSE;32009;BARCO DE VALDEORRAS, O;12/12/2000;85,69;
Entidade local territorial;MU;Municipio;2000/240;BLANCOS, OS;CARRETERA DE XINZO DE LIMIA;OS BLANCOS;32634;32;OURENSE;32012;BLANCOS, OS;12/12/2000;47,56;
Entidade local territorial;MU;Municipio;2000/241;BOBORÁS;CRISTÓBAL COLÓN,S/N;BOBORÁS;32514;32;OURENSE;32013;BOBORÁS;12/12/2000;87,81;
Entidade local territorial;MU;Municipio;2000/242;BOLA, A;ESTRADA ALLARIZ-CELANOVA;A BOLA;32812;32;OURENSE;32014;BOLA, A;12/12/2000;34,90;
Entidade local territorial;MU;Municipio;2000/243;BOLO, O;RÚA CÉSAR CONTI, S/N;O BOLO;32373;32;OURENSE;32015;BOLO, O;12/12/2000;91,16;
Entidade local territorial;MU;Municipio;2000/244;CARBALLEDA DE AVIA;MUÑOZ CALERO, 3;CARBALLEDA DE AVIA;32412;32;OURENSE;32018;CARBALLEDA DE AVIA;12/12/2000;47,00;
Entidade local territorial;MU;Municipio;2000/245;CARBALLEDA DE VALDEORRAS;RÚA SOBRADELO, S/N;CARBALLEDA;32330;32;OURENSE;32017;CARBALLEDA DE VALDEORRAS;12/12/2000;222,67;
Entidade local territorial;MU;Municipio;2000/246;CASTRO CALDELAS;CONDE OLEIROS, S/N.;CASTRO CALDELAS;32760;32;OURENSE;32023;CASTRO CALDELAS;14/12/2000;87,61;
Entidade local territorial;MU;Municipio;2000/247;CENLLE;XUBIN-RAZAMONDE;XUBÍN;32454;32;OURENSE;32025;CENLLE;14/12/2000;29,03;
Entidade local territorial;MU;Municipio;2000/248;COLES;VILARCHAO;VILARCHAO;32152;32;OURENSE;32026;COLES;14/12/2000;38,11;
Entidade local territorial;MU;Municipio;2000/249;CORTEGADA;RUA OTERO NOVÁS, 2;CORTEGADA;32200;32;OURENSE;32027;CORTEGADA;14/12/2000;26,87;
Entidade local territorial;MU;Municipio;2000/250;CUALEDRO;AVDA. DE PORTUGAL, S/N;CUALEDRO;32689;32;OURENSE;32028;CUALEDRO;14/12/2000;117,62;
Entidade local territorial;MU;Municipio;2000/251;CHANDREXA DE QUEIXA;C/ CELEIRO, S/N.;RABAL;32786;32;OURENSE;32029;CHANDREXA DE QUEIXA;14/12/2000;171,80;
Entidade local territorial;MU;Municipio;2000/252;ESGOS;PRAZA DE SOUTEIRO, S/N;ESGOS;32720;32;OURENSE;32031;ESGOS;14/12/2000;37,79;
Entidade local territorial;MU;Municipio;2000/253;GOMESENDE;SOBRADO;SOBRADO;32212;32;OURENSE;32033;GOMESENDE;14/12/2000;28,31;
Entidade local territorial;MU;Municipio;2000/254;GUDIÑA, A;C/BEATO SEBASTIÁN APARICIO, S/N.;A GUDIÑA;32540;32;OURENSE;32034;GUDIÑA, A;14/12/2000;171,41;
Entidade local territorial;MU;Municipio;2000/255;LAROUCO;RUA COMERCIO, 10;LAROUCO;32358;32;OURENSE;32038;LAROUCO;14/12/2000;23,69;
Entidade local territorial;MU;Municipio;2000/256;LEIRO;GABINO BUGALLAL, 39;LEIRO;32420;32;OURENSE;32040;LEIRO;14/12/2000;38,29;
Entidade local territorial;MU;Municipio;2000/257;LOBEIRA;CASA DO CONCELLO;A VILA;32850;32;OURENSE;32041;LOBEIRA;14/12/2000;68,87;
Entidade local territorial;MU;Municipio;2000/258;LOBIOS;CTRA. DE PORTUGAL, 27;FONDEVILA;32870;32;OURENSE;32042;LOBIOS;14/12/2000;168,38;
Entidade local territorial;MU;Municipio;2000/259;MANZANEDA;CABARCA, 10;MANZANEDA;32781;32;OURENSE;32044;MANZANEDA;14/12/2000;114,58;
Entidade local territorial;MU;Municipio;2000/260;MASIDE;PRAZA MAIOR, 1;MASIDE;32570;32;OURENSE;32045;MASIDE;14/12/2000;40,04;
Entidade local territorial;MU;Municipio;2000/261;MERCA, A;CARRETERA DE CELANOVA;A MERCA;32830;32;OURENSE;32047;MERCA, A;14/12/2000;50,90;
Entidade local territorial;MU;Municipio;2000/262;MONTEDERRAMO;PRAZA MONTEDERRAMO, 28;MONTEDERRAMO;32750;32;OURENSE;32049;MONTEDERRAMO;15/12/2000;135,57;
Entidade local territorial;MU;Municipio;2000/263;MONTERREI;PRAZA DO SOUTO S/N;MONTERREI;32618;32;OURENSE;32050;MONTERREI;15/12/2000;119,11;
Entidade local territorial;MU;Municipio;2000/264;OÍMBRA;AVENIDA DO CARREGAL N-3;OIMBRA;32613;32;OURENSE;32053;OÍMBRA;15/12/2000;71,86;
Entidade local territorial;MU;Municipio;2000/265;CONCELLO DE OURENSE;PRAZA MAIOR Nº1;OURENSE;32005;32;OURENSE;32054;OURENSE;15/12/2000;84,55;
Entidade local territorial;MU;Municipio;2000/266;PADERNE DE ALLARIZ;RIOSECO, 7;RIOSECO;32110;32;OURENSE;32055;PADERNE DE ALLARIZ;15/12/2000;38,75;
Entidade local territorial;MU;Municipio;2000/267;PADRENDA;CASA DO CONCELLO;SAN ROQUE DE CRESPOS;32226;32;OURENSE;32056;PADRENDA;15/12/2000;57,04;
Entidade local territorial;MU;Municipio;2000/268;PARADA DE SIL;CAMPO DA FEIRA,1;PARADA DE SIL;32740;32;OURENSE;32057;PARADA DE SIL;15/12/2000;62,43;
Entidade local territorial;MU;Municipio;2000/269;PETÍN;POBLADO IBERDUERO, 1;PETÍN;32356;32;OURENSE;32060;PETÍN;15/12/2000;30,47;
Entidade local territorial;MU;Municipio;2000/270;PIÑOR;CASA DO CONCELLO;BARRÁN-PIÑOR;32137;32;OURENSE;32061;PIÑOR;15/12/2000;52,68;
Entidade local territorial;MU;Municipio;2000/271;PONTEDEVA;C/OUTEIRO,S/N;ALDA DE DEVA (PONTEDEVA);32235;32;OURENSE;32064;PONTEDEVA;15/12/2000;9,85;
Entidade local territorial;MU;Municipio;2000/272;PORQUEIRA;ESTRADA XINZO-BANDE;FORXA-PORQUEIRA;32642;32;OURENSE;32062;PORQUEIRA;15/12/2000;43,40;
Entidade local territorial;MU;Municipio;2000/273;PUNXÍN;ESTRADA DE OURENSE-PONTEVEDRA;A FOXA- PUNXÍN;32456;32;OURENSE;32065;PUNXÍN;15/12/2000;17,07;
Entidade local territorial;MU;Municipio;2000/274;RAIRIZ DE VEIGA;PRAZA DO CONCELLO, 1;RAIRIZ DE VEIGA;32652;32;OURENSE;32067;RAIRIZ DE VEIGA;15/12/2000;72,11;
Entidade local territorial;MU;Municipio;2000/275;RIÓS;PLAZA DE JOSÉ ANTONIO;RIÓS;32611;32;OURENSE;32071;RIÓS;15/12/2000;144,44;
Entidade local territorial;MU;Municipio;2000/276;SAN CIBRAO DAS VIÑAS;PZA. CONSTITUCION Nº 1;SAN CIBRAO DAS VIÑAS;32911;32;OURENSE;32075;SAN CIBRAO DAS VIÑAS;15/12/2000;39,47;
Entidade local territorial;MU;Municipio;2000/277;SAN CRISTOVO DE CEA;PRAZA MAIOR, 1;CEA;32130;32;OURENSE;32076;SAN CRISTOVO DE CEA;15/12/2000;94,44;
Entidade local territorial;MU;Municipio;2000/278;SANDIÁS;CAMPO SAN NICOLAS;SANDIÁS;32692;32;OURENSE;32077;SANDIÁS;15/12/2000;52,84;
Entidade local territorial;MU;Municipio;2000/279;TABOADELA;PRAZA DO CONCELLO, 1;TABOADELA;32690;32;OURENSE;32079;TABOADELA;15/12/2000;25,19;
Entidade local territorial;MU;Municipio;2000/280;TEIXEIRA, A;ESTRADA IBEDO-VALILONGO;A TEIXEIRA;32765;32;OURENSE;32080;TEIXEIRA, A;15/12/2000;27,63;
Entidade local territorial;MU;Municipio;2000/281;VILAMARTÍN DE VALDEORRAS;MANUEL SANCHEZ DOMINGUEZ, 8;VILAMARTÍN;32340;32;OURENSE;32088;VILAMARTÍN DE VALDEORRAS;15/12/2000;88,26;
Entidade local territorial;MU;Municipio;2000/282;VILAR DE BARRIO;PRAZA DO TOURAL, 10;VILAR DE BARRIO;32702;32;OURENSE;32089;VILAR DE BARRIO;15/12/2000;106,73;
Entidade local territorial;MU;Municipio;2000/283;VILARDEVÓS;PASEO DE MANUEL NÚÑEZ, S/N.;VILARDEVÓS;32616;32;OURENSE;32091;VILARDEVÓS;15/12/2000;152,13;
Entidade local territorial;MU;Municipio;2000/284;VILARIÑO DE CONSO;PRAZA DO CONCELLO;VILARIÑO DE CONSO;32557;32;OURENSE;32092;VILARIÑO DE CONSO;15/12/2000;2,00;
Entidade local territorial;MU;Municipio;2000/285;XINZO DE LIMIA;CURROS ENRIQUEZ, 15;XINZO DE LIMIA;32630;32;OURENSE;32032;XINZO DE LIMIA;15/12/2000;132,66;
Entidade local territorial;MU;Municipio;2000/286;XUNQUEIRA DE AMBÍA;PRAZA SAN ROSENDO, Nº 1;XUNQUEIRA DE AMBÍA;32670;32;OURENSE;32036;XUNQUEIRA DE AMBÍA;15/12/2000;60,20;
Entidade local territorial;MU;Municipio;2000/287;AGOLADA;PRAZA DO CONCELLO;AGOLADA;36520;36;PONTEVEDRA;36020;AGOLADA;18/12/2000;147,85;
Entidade local territorial;MU;Municipio;2000/288;BARRO;CASA DO CONCELLO;SANTO ANTONIÑO Nª 11;36191;36;PONTEVEDRA;36002;BARRO;18/12/2000;37,63;
Entidade local territorial;MU;Municipio;2000/289;CATOIRA;RUA DO CONCELLO, 6;CATOIRA;36612;36;PONTEVEDRA;36010;CATOIRA;18/12/2000;29,44;
Entidade local territorial;MU;Municipio;2000/290;CUNTIS;PRAZA DA CONSTITUCION, 4;CUNTIS;36670;36;PONTEVEDRA;36015;CUNTIS;18/12/2000;79,83;
Entidade local territorial;MU;Municipio;2000/291;DOZON;AVDA. MÉDICO F-MARTÍNEZ IGLESIAS, S/N;O CASTRO;36518;36;PONTEVEDRA;36016;DOZÓN;18/12/2000;74,23;
Entidade local territorial;MU;Municipio;2000/292;ESTRADA, A;PRAZA DA CONSTITUCIÓN;A ESTRADA;36680;36;PONTEVEDRA;36017;ESTRADA, A;18/12/2000;280,76;
Entidade local territorial;MU;Municipio;2000/293;FORCAREI;PRAZA DA IGREXA, 1;FORCAREI;36550;36;PONTEVEDRA;36018;FORCAREI;18/12/2000;168,38;
Entidade local territorial;MU;Municipio;2000/294;FORNELOS DE MONTES;PRAZA DA IGREXA, S/N.;A IGREXA;36847;36;PONTEVEDRA;36019;FORNELOS DE MONTES;18/12/2000;83,09;
Entidade local territorial;MU;Municipio;2000/295;GUARDA, A;C/ 2ª TRAVESÍA LOS BECHOS;A GUARDA;36780;36;PONTEVEDRA;36023;GUARDA, A;18/12/2000;20,50;
Entidade local territorial;MU;Municipio;2000/296;LALIN;PRAZA DO CONCELLO, S/N;LALÍN;36500;36;PONTEVEDRA;36024;LALÍN;18/12/2000;326,82;
Entidade local territorial;MU;Municipio;2000/297;LAMA, A;AVDA. JOSÉ ANTONIO, 1;A PEDREIRA;36830;36;PONTEVEDRA;36025;LAMA, A;18/12/2000;111,76;
Entidade local territorial;MU;Municipio;2000/298;MARÍN;AVDA. DE OURENSE, 1;MARÍN;36900;36;PONTEVEDRA;36026;MARÍN;18/12/2000;36,68;
Entidade local territorial;MU;Municipio;2000/299;MEIS;C/ GENERALÍSIMO, 7;MOSTEIRO;36637;36;PONTEVEDRA;36028;MEIS;18/12/2000;52,38;
Entidade local territorial;MU;Municipio;2000/300;MOAÑA;RAMÓN CABANILLAS,108;MOAÑA;36950;36;PONTEVEDRA;36029;MOAÑA;18/12/2000;35,06;
Entidade local territorial;MU;Municipio;2000/301;MONDARIZ;RÚA MEROUCES, 16;MONDARIZ;36870;36;PONTEVEDRA;36030;MONDARIZ;18/12/2000;85,12;
Entidade local territorial;MU;Municipio;2000/302;MONDARIZ-BALNEARIO;RUA CONSTITUCION, 1;MONDARIZ- BALNEARIO;36890;36;PONTEVEDRA;36031;MONDARIZ-BALNEARIO;18/12/2000;2,30;
Entidade local territorial;MU;Municipio;2000/303;MORAÑA;C/ SANTA LUCÍA,S/N;SANTA LUCÍA DE MORAÑA;36660;36;PONTEVEDRA;36032;MORAÑA;18/12/2000;41,34;
Entidade local territorial;MU;Municipio;2000/304;MOS;CASA DO CONCELLO;REGUENGO-PETELOS;36415;36;PONTEVEDRA;36033;MOS;18/12/2000;53,20;
Entidade local territorial;MU;Municipio;2000/305;NIGRÁN;PLAZA DA CONSTITUCIÓN 1;NIGRÁN;36350;36;PONTEVEDRA;36035;NIGRÁN;18/12/2000;34,77;
Entidade local territorial;MU;Municipio;2000/306;OIA;C/ VISTA ALEGRE,S/N.;O ARRABAL;36390;36;PONTEVEDRA;36036;OIA;18/12/2000;83,30;
Entidade local territorial;MU;Municipio;2000/307;PONTE CALDELAS;AVDA. DE GALICIA, S/N.;PONTE-CALDELAS;36820;36;PONTEVEDRA;36043;PONTE CALDELAS;18/12/2000;87,00;
Entidade local territorial;MU;Municipio;2000/308;PORRIÑO, O;C/ ANTONIO PALACIOS, 1;O PORRIÑO;36400;36;PONTEVEDRA;36039;PORRIÑO, O;18/12/2000;61,25;
Entidade local territorial;MU;Municipio;2000/309;PORTAS;RAPEIRA, 1;CURRÁS-PORTAS;36658;36;PONTEVEDRA;36040;PORTAS;18/12/2000;22,62;
Entidade local territorial;MU;Municipio;2000/310;REDONDELA;ALFONSO XII, Nº 2;REDONDELA;36800;36;PONTEVEDRA;36045;REDONDELA;18/12/2000;52,08;
Entidade local territorial;MU;Municipio;2000/311;RODEIRO;PRAZA DA FONTE, 2;RODEIRO;36530;36;PONTEVEDRA;36047;RODEIRO;18/12/2000;154,89;
Entidade local territorial;MU;Municipio;2000/312;SALCEDA DE CASELAS;C/ DOCTOR ZUNZUNEGUI, 7;A ESFARRAPADA;36473;36;PONTEVEDRA;36049;SALCEDA DE CASELAS;18/12/2000;35,91;
Entidade local territorial;MU;Municipio;2000/313;SANXENXO;C/ CONSISTORIO,1;SANXENXO;36960;36;PONTEVEDRA;36051;SANXENXO;18/12/2000;45,08;
Entidade local territorial;MU;Municipio;2000/314;TOMIÑO;PRAZA DE CALVO SOTELO, 1;O SEIXO- TOMIÑO;36740;36;PONTEVEDRA;36054;TOMIÑO;18/12/2000;106,61;
Entidade local territorial;MU;Municipio;2000/315;TUI;PRAZA DO CONCELLO, 1;TUI;36700;36;PONTEVEDRA;36055;TUI;18/12/2000;68,31;
Entidade local territorial;MU;Municipio;2013/001;OZA-CESURAS;LOIS, 33;OZA;15380;15;A CORUÑA;15902;OZA-CESURAS;04/10/2013;0,00;
Entidade local territorial;MU;Municipio;2016/001;CERDEDO-COTOBADE;CHAN, 11;CHAN, A;36120;36;PONTEVEDRA;36902;CERDEDO-COTOBADE;01/11/2016;214,52;
Entidade local territorial;PR;Provincia;2000/001;PONTEVEDRA;AVDA MONTERO RIOS, S/N;PONTEVEDRA;36071;36;PONTEVEDRA;;;03/05/2000;4498,00;
Entidade local territorial;PR;Provincia;2002/001;A CORUÑA;AVDA. ALFEREZ PROVISIONAL S/N. 15006 - A CORUÑA;A CORUÑA;15006;15;A CORUÑA;;;01/07/2002;0,00;
Entidade local territorial;PR;Provincia;2002/002;LUGO;SAN MARCOS, Nº 8;LUGO;27001;27;LUGO;;;01/07/2002;0,00;
Entidade local territorial;PR;Provincia;2002/003;OURENSE;RUA DO PROGRESO, 32;OURENSE;32003;32;OURENSE;;;03/07/2002;0,00;
