SECCIÓN;CÓDIGO DA TIPOLOXÍA DE ENTIDADE;TIPOLOXÍA DA ENTIDADE;NÚMERO DE REXISTRO;NOME;ENDEREZO;CAPITAL OU SEDE DA ENTIDADE;CÓDIGO POSTAL;CÓDIGO INE DA PROVINCIA;PROVINCIA;CÓDIGO INE DO CONCELLO;CONCELLO;DATA DE INSCRICIÓN NO REXISTRO;SUPERFICIE
Entidade local non territorial;MC;Mancomunidade;2001/005;MANCOMUDADE DE MUNICIPIOS DA COMARCA DO CARBALLIÑO;CTRA. O CARBALLIÑO-CEA, S/N - SEOANE;O CARBALLILÑO;32510;32;OURENSE;;;02/01/2001;0,00;
Entidade local non territorial;MC;Mancomunidade;2001/006;MANCOM.VOLUNTARIA DE CONCE.DA COMARC.DA LIMIA;CURROS ENRÍQUEZ,15;XINZO DE LIMIA;32630;32;OURENSE;;;01/02/2001;0,00;
Entidade local non territorial;MC;Mancomunidade;2001/008;MANCOMUNIDADE DE AUGAS RÚA-PETÍN;C/ VELÁZQUEZ, 2;A RÚA;32350;32;OURENSE;;;01/02/2001;0,00;
Entidade local non territorial;MC;Mancomunidade;2001/009;MANCOMUNIDADE DE CONCELLOS ?DA TERRA CHA?;PRAZA MAIOR, 1;CASTRO DE REI;27250;27;LUGO;;;02/01/2001;0,00;
Entidade local non territorial;MC;Mancomunidade;2001/012;MANCOMUNIDADE ?COMARCA DE FISTERRA?;DOMINGO ANTONIO DE ANDRADE, S/N.;ROTATIVA;15270;15;A CORUÑA;;;03/01/2001;0,00;
Entidade local non territorial;MC;Mancomunidade;2001/013;MANMUDADE DA AUGA DOS CONCE DE CARNOTA E MURO;SAN GREGORIO, S/N;ROTATIVA;15293;15;A CORUÑA;;;01/03/2001;0,00;
Entidade local non territorial;MC;Mancomunidade;2001/014;MANCOMUNIDADE ?XALLAS-TINES-TAMBRE?;PRAZA DO CONCELLO;SANTA CATALIÑA DE ARMADA (SANTA COMBA);15840;15;A CORUÑA;;;01/03/2001;0,00;
Entidade local non territorial;MC;Mancomunidade;2001/015;MANCOMUNIDADE DE CONCELLOS DA COMARCA DE FERROL;PRAZA DE ARMAS, S/N.;FERROL;15401;15;A CORUÑA;;;01/03/2001;0,00;
Entidade local non territorial;MC;Mancomunidade;2001/016;MANCOMUNIDADE DE CONCELLOS DO TAMBRE;C/ CARME, 3;NEGREIRA;15830;15;A CORUÑA;;;01/03/2001;0,00;
Entidade local non territorial;MC;Mancomunidade;2001/017;MANCOMUNIDADE RIA DE AROUSA ZONA NORTE;EDIF. DO CONCELLO, PRAZA DE GALICIA, S/N;BOIRO;15930;15;A CORUÑA;;;01/03/2001;0,00;
Entidade local non territorial;MC;Mancomunidade;2001/018;MANCOMUNIDADE DE CONCELLOS DA MARIÑA LUCENSE;VILA, 63;BARREIROS;27790;27;LUGO;;;03/01/2001;0,00;
Entidade local non territorial;MC;Mancomunidade;2001/019;MANCOMUNIDADE TURÍSTICA DOS MUNICIPIOS DO CARBALLIÑO, RIBADAVIA, BOBORAS E LEIRO;PRAZA MAIOR, 1;O CARBALLIÑO;32500;32;OURENSE;;;25/05/2001;0,00;
Entidade local non territorial;MC;Mancomunidade;2001/020;MANCOMUNIDADE INTERMUNICIPAL VOLUNT.CONSO-FRIEIRAS;AVDA.BEATO SEBASTIÁN APARICIO, 76;A GUDIÑA;32540;32;OURENSE;;;25/05/2001;0,00;
Entidade local non territorial;MC;Mancomunidade;2001/021;MANCOMUNIDADE DE MUNICIPIOS GALEGOS DO CAMIÑO FRANCES;PRAZA DE ESPAÑA, S/N.;CONCELLO DE SAMOS;27620;27;LUGO;;;10/11/2001;0,00;
